Division,Part,Item,Pay Item,Description,Unit
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (23)d2,Permanent Casing ( dia. 1.10 m  12 mm thick),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (23)d3,Permanent Casing ( dia. 1.10 m  16 mm thick),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (23)e1,Permanent Casing ( dia. 1.20 m  10 mm thick),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (23)e2,Permanent Casing ( dia. 1.20 m  12 mm thick),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (23)e3,Permanent Casing ( dia. 1.20 m  16 mm thick),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (23)f1,Permanent Casing ( dia. 1.30 m  10 mm thick),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (23)f2,Permanent Casing ( dia. 1.30 m  12 mm thick),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (23)f3,Permanent Casing ( dia. 1.30 m  16 mm thick),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (23)g1,Permanent Casing ( dia. 1.40 m  10 mm thick),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (23)g2,Permanent Casing ( dia. 1.40 m  12 mm thick),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (23)g3,Permanent Casing ( dia. 1.40 m  16 mm thick),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (23)h1,Permanent Casing ( dia. 1.50 m  10 mm thick),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (23)h2,Permanent Casing ( dia. 1.50 m  12 mm thick),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (23)h3,Permanent Casing ( dia. 1.50 m  16 mm thick),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (23)i1,Permanent Casing ( dia. 1.60 m  12 mm thick),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (23)i2,Permanent Casing ( dia. 1.60 m  16 mm thick),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (23)j1,Permanent Casing ( dia. 1.70 m  12 mm thick),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (23)j2,Permanent Casing ( dia. 1.70 m  16 mm thick),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (23)k1,Permanent Casing ( dia. 1.80 m  12 mm thick),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (23)k2,Permanent Casing ( dia. 1.80 m  16 mm thick),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (23)l1,Permanent Casing ( dia. 1.90 m  12 mm thick),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (23)l2,Permanent Casing ( dia. 1.90 m  16 mm thick),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (23)m1,Permanent Casing ( dia. 2.00 m  12 mm thick),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (23)m2,Permanent Casing ( dia. 2.00 m  16 mm thick),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (23)n1,Permanent Casing ( dia. 2.10 m  12 mm thick),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (23)n2,Permanent Casing ( dia. 2.10 m  16 mm thick),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (23)o1,Permanent Casing ( dia. 2.20 m  12 mm thick),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (23)o2,Permanent Casing ( dia. 2.20 m  16 mm thick),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (23)p1,Permanent Casing ( dia. 2.30 m  12 mm thick),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (23)p2,Permanent Casing ( dia. 2.30 m  16 mm thick),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (23)q1,Permanent Casing ( dia. 2.40 m  12 mm thick),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (23)q2,Permanent Casing ( dia. 2.40 m  16 mm thick),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (23)r1,Permanent Casing ( dia. 2.50 m  16 mm thick),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (23)r2,Permanent Casing ( dia. 2.50 m  20 mm thick),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (23)s1,Permanent Casing ( dia. 2.60 m  16 mm thick),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (23)s2,Permanent Casing ( dia. 2.60 m  20 mm thick),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (23)t1,Permanent Casing ( dia. 2.70 m  16 mm thick),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (23)t2,Permanent Casing ( dia. 2.70 m  20 mm thick),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (23)u1,Permanent Casing ( dia. 2.80 m  16 mm thick),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (23)u2,Permanent Casing ( dia. 2.80 m  20 mm thick),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (23)v1,Permanent Casing ( dia. 2.90 m  16 mm thick),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (23)v2,Permanent Casing ( dia. 2.90 m  20 mm thick),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (23)w1,Permanent Casing ( dia. 3.00 m  16 mm thick),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (23)w2,Permanent Casing ( dia. 3.00 m  20 mm thick),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (23)x1,Permanent Casing ( dia. 3.50 m  16 mm thick),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (23)x2,Permanent Casing ( dia. 3.50 m  20 mm thick),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (23)y,Permanent Casing ( dia. 0.60 m  6 mm thick),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (24),Permanent Casing (   ),Kilogram
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (25),Splicing of R.C. Piles with Epoxy (   ),Each
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (26)a,Pile Integrity Testing (   Crosshole-Sonic),Each
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (26)b,Pile Integrity Testing (   Low-Strain),Each
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (27),High Strain Dynamic Load Testing (PDA) (   ),Each
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (28)a,Micro Piles ( 0.2  ),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (28)b,Micro Piles ( 0.25  ),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (28)c,Micro Piles ( 0.3  ),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (29)a,Permanent Casing (Micro Piles) ( 0.2  ),Kilogram
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (29)b,Permanent Casing (Micro Piles) ( 0.25  ),Kilogram
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (29)c,Permanent Casing (Micro Piles) ( 0.3  ),Kilogram
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (30)a,Temporary Steel Casing (   Furnish/Driven),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (30)b,Temporary Steel Casing (   Extraction),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (31)a1,"Steel Pipe Piles, Furnished & Driven ( 318.5 mm dia. x 10.3 mm thk Press-in-Method Normal Headroom)",Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (31)a2,"Steel Pipe Piles, Furnished & Driven ( 800 mm dia. x 8 mm thk Press-in-Method Normal Headroom)",Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (31)a3,"Steel Pipe Piles, Furnished & Driven ( 1200 mm dia. x 16 mm thk Press-in-Method Normal Headroom)",Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (31)a4,"Steel Pipe Piles, Furnished & Driven ( 1200 mm dia. x 19 mm thk Press-in-Method Normal Headroom)",Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (32)b1,"Steel Pipe Piles, Furnished & Driven ( 318.5 mm dia. x 10.3 mm thk Press-in-Method Low Headroom)",Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (32)b2,"Steel Pipe Piles, Furnished & Driven ( 800 mm dia. x 8 mm thk Press-in-Method Low Headroom)",Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (32)b3,"Steel Pipe Piles, Furnished & Driven ( 1200 mm dia. x 16 mm thk Press-in-Method Low Headroom)",Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (32)b4,"Steel Pipe Piles, Furnished & Driven ( 1200 mm dia. x 19 mm thk Press-in-Method Low Headroom)",Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (33)a1,"Steel Pipe Sheet Piles, Furnished and Driven ( 800 mm dia. x 8 mm thk  )",Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (36)a2,"Steel Pipe Sheet Piles, Furnished and Driven ( 1200 mm dia. x 19 mm thk  )",Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (37)a,PVC Sheet Piles (   Furnished),Meter
DIVISION II - BUILDING,PART E,ITEM 1052 – PILING,1052 (37)b,PVC Sheet Piles (   Driven),Meter
DIVISION II - BUILDING,PART E,ITEM 1053 – CARPET FLOOR TILES,1053 (1),Carpet Floor Tiles (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1053 – CARPET FLOOR TILES,1053 (2),Carpet Floor Tiles (   ),Lump Sum
DIVISION II - BUILDING,PART E,ITEM 1054 – GLASS FIBER REINFORCED CONCRETE CLADDING PANELS,1054 (1),Glass Fiber Reinforced Concrete (GFRC) Cladding Panels (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1054 – GLASS FIBER REINFORCED CONCRETE CLADDING PANELS,1054 (2),Glass Fiber Reinforced Concrete (GFRC) Cladding Panels (   ),Lump Sum
DIVISION II - BUILDING,PART E,ITEM 1055 – INTERIOR CEMENTITIOUS FIREPROOFING,1055 (1),Sprayed Cementitious Fireproofing (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1056 – ASPHALT ROOF SINGLES,1056 (1),Asphalt Roof Shingles (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1058 – ASPHALT ROOF SINGLES,1058 (1),Flood Protection System for Buildings (   ),Lump Sum
DIVISION II - BUILDING,PART E,ITEM 1058 – ASPHALT ROOF SINGLES,1058 (2),Demountable Flood Barrier (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1058 – ASPHALT ROOF SINGLES,1058 (3),Window Cover Flood Barrier (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1058 – ASPHALT ROOF SINGLES,1058 (4),Swinging Flood Gate (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1058 – ASPHALT ROOF SINGLES,1058 (5),Pivot-hinged Flood Gate (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1058 – ASPHALT ROOF SINGLES,1058 (6),Drop-down Flood Barrier (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1058 – ASPHALT ROOF SINGLES,1058 (7),Flip-up Flood Barrier (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1058 – ASPHALT ROOF SINGLES,1058 (8),Sliding Flood Barrier (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1058 – ASPHALT ROOF SINGLES,1058 (9),Glass-Paneled Flood Barrier (   ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1059 – VISCOUS DAMPERS,1059 (1),Viscous Dampers (   ),Set
DIVISION II - BUILDING,PART E,ITEM 1060 – SEISMIC BASE ISOLATION FOR BUILDINGS,1060 (1),Seismic Base Isolator (Lead Rubber Bearing) (   ),Set
DIVISION II - BUILDING,PART E,ITEM 1060 – SEISMIC BASE ISOLATION FOR BUILDINGS,1060 (2),Seismic Base Isolator (Lead Rubber Bearing) (   ),Lump Sum
DIVISION II - BUILDING,PART E,ITEM 1060 – SEISMIC BASE ISOLATION FOR BUILDINGS,1060 (3),Seismic Base Isolator (Rubber Bearing) (   ),Set
DIVISION II - BUILDING,PART E,ITEM 1060 – SEISMIC BASE ISOLATION FOR BUILDINGS,1060 (4),Seismic Base Isolator (Rubber Bearing) (   ),Lump Sum
DIVISION II - BUILDING,PART E,ITEM 1060 – SEISMIC BASE ISOLATION FOR BUILDINGS,1060 (5),Seismic Base Isolator (Sliding Isolator Bearing - Set Flat Slider) (   ),Set
DIVISION II - BUILDING,PART E,ITEM 1060 – SEISMIC BASE ISOLATION FOR BUILDINGS,1060 (6),Seismic Base Isolator (Sliding Isolator Bearing - Set Flat Slider) (   ),Lump Sum
DIVISION II - BUILDING,PART E,ITEM 1061 – TENSILE FABRIC,1061 (1)a1,PVC Tensile Fabric with accessories (  Type 0 ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1061 – TENSILE FABRIC,1061 (1)a2,PVC Tensile Fabric with accessories (  Type 1 ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1061 – TENSILE FABRIC,1061 (1)a3,PVC Tensile Fabric with accessories (  Type 2 ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1061 – TENSILE FABRIC,1061 (1)a4,PVC Tensile Fabric with accessories (  Type 3 ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1061 – TENSILE FABRIC,1061 (2)a1,PTFE Tensile Fabric with accessories (  Type 1 ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1061 – TENSILE FABRIC,1061 (2)a2,PTFE Tensile Fabric with accessories (  Type 2 ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1061 – TENSILE FABRIC,1061 (2)a3,PTFE Tensile Fabric with accessories (  Type 3 ),Square Meter
DIVISION II - BUILDING,PART E,ITEM 1061 – TENSILE FABRIC,1061 (2)a4,PTFE Tensile Fabric with accessories (  Type 4 ),Square Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (1)a,Rigid Steel Conduit (RSC) ( 15 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (1)b,Rigid Steel Conduit (RSC) ( 20 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (1)c,Rigid Steel Conduit (RSC) ( 25 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (1)d,Rigid Steel Conduit (RSC) ( 32 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (1)e,Rigid Steel Conduit (RSC) ( 40 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (1)f,Rigid Steel Conduit (RSC) ( 50 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (1)g,Rigid Steel Conduit (RSC) ( 65 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (1)h,Rigid Steel Conduit (RSC) ( 80 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (1)i,Rigid Steel Conduit (RSC) ( 90 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (1)j,Rigid Steel Conduit (RSC) ( 100 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (1)k,Rigid Steel Conduit (RSC) ( 125 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (1)l,Rigid Steel Conduit (RSC) ( 150 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (2)a,Intermediate Metal Conduit (IMC) ( 15 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (2)b,Intermediate Metal Conduit (IMC) ( 20 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (2)c,Intermediate Metal Conduit (IMC) ( 25 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (2)d,Intermediate Metal Conduit (IMC) ( 32 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (2)e,Intermediate Metal Conduit (IMC) ( 40 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (2)f,Intermediate Metal Conduit (IMC) ( 50 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (2)g,Intermediate Metal Conduit (IMC) ( 65 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (2)h,Intermediate Metal Conduit (IMC) ( 80 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (2)i,Intermediate Metal Conduit (IMC) ( 90 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (2)j,Intermediate Metal Conduit (IMC) ( 100 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (3)a,Flexible Metal Conduit ( 15 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (3)b,Flexible Metal Conduit ( 20 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (3)c,Flexible Metal Conduit ( 25 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (3)d,Flexible Metal Conduit ( 32 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (3)e,Flexible Metal Conduit ( 40 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (3)f,Flexible Metal Conduit ( 50 mm dia  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (3)g,Flexible Metal Conduit ( 65 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (3)h,Flexible Metal Conduit ( 80 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (3)i,Flexible Metal Conduit ( 90 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (3)j,Flexible Metal Conduit ( 100 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (4)a,Electrical Metallic Tubing (EMT) ( 15 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (4)b,Electrical Metallic Tubing (EMT) ( 20 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (4)c,Electrical Metallic Tubing (EMT) ( 25 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (4)d,Electrical Metallic Tubing (EMT) ( 32 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (4)e,Electrical Metallic Tubing (EMT) ( 40 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (4)f,Electrical Metallic Tubing (EMT) ( 50 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (4)g,Electrical Metallic Tubing (EMT) ( 65 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (4)h,Electrical Metallic Tubing (EMT) ( 80 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (4)i,Electrical Metallic Tubing (EMT) ( 90 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (4)j,Electrical Metallic Tubing (EMT) ( 100 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (5)a,Liquidtight Flexible Non-Metallic Conduit ( 10 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (5)b,Liquidtight Flexible Non-Metallic Conduit ( 15 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (5)c,Liquidtight Flexible Non-Metallic Conduit ( 20 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (5)d,Liquidtight Flexible Non-Metallic Conduit ( 25 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (5)e,Liquidtight Flexible Non-Metallic Conduit ( 32 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (5)f,Liquidtight Flexible Non-Metallic Conduit ( 40 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (5)g,Liquidtight Flexible Non-Metallic Conduit ( 50 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (6)a,Rigid Polyvinyl Chloride Pipes (PVC/uPVC) ( 20 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (6)b,Rigid Polyvinyl Chloride Pipes (PVC/uPVC) ( 25 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (6)c,Rigid Polyvinyl Chloride Pipes (PVC/uPVC) ( 32 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (6)d,Rigid Polyvinyl Chloride Pipes (PVC/uPVC) ( 40 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (6)e,Rigid Polyvinyl Chloride Pipes (PVC/uPVC) ( 50 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (6)f,Rigid Polyvinyl Chloride Pipes (PVC/uPVC) ( 65mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (6)g,Rigid Polyvinyl Chloride Pipes (PVC/uPVC) ( 75 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (6)h,Rigid Polyvinyl Chloride Pipes (PVC/uPVC) ( 90 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (6)i,Rigid Polyvinyl Chloride Pipes (PVC/uPVC) ( 100 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (6)j,Rigid Polyvinyl Chloride Pipes (PVC/uPVC) ( 110 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (6)k,Rigid Polyvinyl Chloride Pipes (PVC/uPVC) ( 160 mm dia.  ),Meter
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (7)a1,Weatherhead ( 15 mm dia.  ),Piece
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (7)a2,Weatherhead ( 20 mm dia.  ),Piece
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (7)a3,Weatherhead ( 25 mm dia.  ),Piece
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (7)a4,Weatherhead ( 32 mm dia.  ),Piece
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (7)a5,Weatherhead ( 40 mm dia.  ),Piece
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (7)a6,Weatherhead ( 50 mm dia.  ),Piece
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (7)a7,Weatherhead ( 65 mm dia.  ),Piece
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (7)a8,Weatherhead ( 80 mm dia.  ),Piece
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (7)a9,Weatherhead ( 90 mm dia.  ),Piece
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (7)a10,Weatherhead ( 100 mm dia.  ),Piece
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (7)a11,Weatherhead ( 125 mm dia.  ),Piece
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (7)a12,Weatherhead ( 150 mm dia.  ),Piece
DIVISION II - BUILDING,PART F,"ITEM 1100 - CONDUITS, BOXES AND FITTINGS",1100 (8),Boxes/Wire Gutter (   ),Lump Sum
