Material Code ,Material Description,Unit, Price 
MS02.0006,"GABION, PVC COATED (0.5m x 1m x 3m)",PC," 1,830.40 "
MS02.0007,"GABION, PVC COATED (0.5m x 1m x 4m)",PC," 2,196.48 "
MS02.0008,"GABION, PVC COATED (1m x 1m x 2m)",PC," 1,967.68 "
MS02.0009,"GABION, PVC COATED (1m x 1m x 3m)",PC," 2,527.36 "
MS02.0010,"GABION, PVC COATED (1m x 1m x 4m)",PC," 3,203.20 "
MS02.0011,"MATTRESS, METALLIC COATED (0.3m x 2m x 6m)",PC," 4,162.40 "
MS02.0012,"MATTRESS, PVC COATED (0.3m x 2m x 6m)",PC," 4,168.56 "
MS02.0013,FILTER CLOTH,SQM, 256.08 
MS02.0014,"COCO-NET, CGN 400",SQM, 146.08 
MS02.0015,"COCO-NET, CGN 700",SQM, 191.84 
MS02.0016,"FASCINE, CGR 200",M, 374.88 
MS02.0017,"FASCINE, CGR 300",M, 443.52 
MS02.0018,SODDING,SQM, 64.24 
MS02.0019,TOPSOIL (GARDEN SOIL),CUM," 1,098.24 "
MS02.0020,"VEGETATION, HYDROSEEDING",SQM, 62.48 
MS02.0021,"VEGETATION, VETIVER GRASS SYSTEM",SQM, 66.88 
MS03.0001,PREMOLDED EXPANSION JOINT FILLER (12 mm),SQM," 1,647.36 "
MS04.0001,"3' CYCLONE WIRE (GALVANIZED, GA 10)",M, 124.52 
MS04.0002,"4' CYCLONE WIRE (GALVANIZED, GA 10)",M, 136.40 
MS04.0003,"5' CYCLONE WIRE (GALVANIZED, GA 10)",M, 163.68 
MS04.0004,"6' CYCLONE WIRE (GALVANIZED, GA 10)",M, 191.84 
MS04.0005,"BARBED WIRE, 2 STRANDS (GALVANIZED, GA 12.5)",M, 14.52 
MS04.0006,"BARBED WIRE, 3 STRANDS (GALVANIZED, GA 12.5)",M, 18.26 
MS05.0001,PRESTRESSED CONCRETE GIRDER (AASHTO TYPE I),M," 13,437.47 "
MS05.0002,PRESTRESSED CONCRETE GIRDER (AASHTO TYPE II),M," 13,347.11 "
MS05.0003,PRESTRESSED CONCRETE GIRDER (AASHTO TYPE III),M," 21,233.96 "
